Sex,Hood,PlantNum,StalkTrt,Color,PollenRemoval,nRows,SumNumFruits,SumAbts,SumDestr,SumDeh,SumSeedNum,SumSeedWeight,FruitsetPerc,ArcsinePerset,SeedsDivSetfruit
F,1,1,HP,black,No,1,1,0,0,0,9,0.0106,1,1.570796327,9
H,1,2,C,black,No,1,1,0,0,0,1,0,1,1.570796327,1
F,1,3,C,black,No,1,1,1,0,0,0,0,0,0,
F,1,3,HP,black,No,1,2,1,0,0,2,0,0.5,0.523598776,2
H,1,3,C,black,No,2,2,2,0,0,0,0,0,0,
H,1,3,HP,black,No,1,5,3,1,0,1,0,0.4,0.411516846,1
F,1,1,C,blue,Yes,2,7,1,0,0,51,0.0549,0.857142857,1.029696801,8.5
F,1,1,HP,blue,Yes,2,9,1,0,0,70,0.0733,0.888888889,1.094914077,8.75
H,1,1,C,blue,Yes,1,3,0,3,0,0,0,1,1.570796327,
F,1,2,C,blue,Yes,1,5,2,1,0,10,0.0115,0.6,0.643501109,5
F,1,2,HP,blue,Yes,1,4,1,0,0,24,0.0272,0.75,0.848062079,8
H,1,2,C,blue,Yes,2,6,1,2,0,21,0.0155,0.833333333,0.985110783,7
H,1,2,HP,blue,Yes,1,2,0,0,0,12,0.0099,1,1.570796327,6
F,1,3,C,blue,Yes,1,3,0,0,0,18,0.0113,1,1.570796327,6
F,1,3,HP,blue,Yes,1,3,0,5,0,18,0.0162,1,1.570796327,-9
H,1,3,C,blue,Yes,3,9,7,0,0,9,0.0098,0.222222222,0.224093092,4.5
H,1,3,HP,blue,Yes,4,9,1,3,0,29,0.0285,0.888888889,1.094914077,5.8
H,1,1,C,green,Yes,1,5,1,0,0,10,0.008,0.8,0.927295218,2.5
H,1,1,HP,green,Yes,1,2,1,0,0,6,0.0057,0.5,0.523598776,6
F,1,3,C,green,Yes,1,1,0,0,0,1,0.0013,1,1.570796327,1
F,1,3,HP,green,Yes,2,6,3,1,0,22,0.0117,0.5,0.523598776,11
H,1,3,C,green,Yes,2,8,3,2,0,10,0.0076,0.625,0.675131533,3.333333333
H,1,3,HP,green,Yes,1,6,2,1,0,13,0.0125,0.666666667,0.729727656,4.333333333
F,1,1,C,pink,Pre,3,20,8,4,0,65,0.0666,0.6,0.643501109,8.125
F,1,1,HP,pink,Pre,2,6,0,0,0,68,0.0752,1,1.570796327,11.33333333
H,1,1,C,pink,Pre,2,6,0,2,0,13,0.0121,1,1.570796327,3.25
H,1,1,HP,pink,Pre,3,8,1,6,0,3,0.0033,0.875,1.065435817,3
F,1,2,C,pink,Pre,2,5,3,0,0,29,0.0131,0.4,0.411516846,14.5
F,1,2,HP,pink,Pre,1,1,1,0,0,0,0,0,0,
H,1,2,C,pink,Pre,5,14,6,5,0,20,0.0046,0.571428571,0.608245579,6.666666667
H,1,2,HP,pink,Pre,3,14,3,4,0,34,0.0236,0.785714286,0.903849982,4.857142857
F,1,3,C,pink,Pre,2,10,6,1,0,9,0,0.4,0.411516846,3
F,1,3,HP,pink,Pre,4,15,5,5,0,23,0.0076,0.666666667,0.729727656,4.6
H,1,3,C,pink,Pre,4,20,11,6,0,35,0.0144,0.45,0.466765339,11.66666667
H,1,3,HP,pink,Pre,2,13,6,3,0,46,0.0271,0.538461538,0.5686103,11.5
F,1,1,C,red,Pre,1,1,0,0,0,2,0,1,1.570796327,2
F,1,1,HP,red,Pre,2,3,2,1,0,0,0,0.333333333,0.339836909,
H,1,2,HP,red,Pre,1,2,1,0,0,5,0.0048,0.5,0.523598776,5
F,1,3,HP,red,Pre,1,2,0,1,0,2,0.0026,1,1.570796327,2
H,1,3,C,red,Pre,2,2,2,0,0,0,0,0,0,
H,1,3,HP,red,Pre,1,3,1,1,0,3,0.0032,0.666666667,0.729727656,3
F,1,1,C,white,NA,1,4,2,0,0,13,0,0.5,0.523598776,6.5
F,1,1,HP,white,No,2,8,0,0,0,28,0.0241,1,1.570796327,3.5
H,1,1,C,white,No,1,3,0,2,0,4,0.004,1,1.570796327,4
F,1,2,C,white,No,1,3,2,0,0,1,0.0015,0.333333333,0.339836909,1
F,1,2,HP,white,No,1,1,1,0,0,0,0,0,0,
H,1,2,C,white,No,3,9,1,2,0,18,0.019,0.888888889,1.094914077,3
H,1,2,HP,white,No,2,3,1,0,0,11,0.0131,0.666666667,0.729727656,5.5
F,1,3,C,white,No,1,1,0,0,0,3,0.0024,1,1.570796327,3
F,1,3,HP,white,No,2,6,2,0,0,7,0.0072,0.666666667,0.729727656,1.75
H,1,3,C,white,No,1,5,2,0,0,7,0.0062,0.6,0.643501109,2.333333333
H,1,3,HP,white,No,2,10,2,1,0,2,0,0.8,0.927295218,0.285714286
F,1,1,C,yellow,Yes,2,7,0,4,0,30,0.0249,1,1.570796327,10
F,1,1,HP,yellow,Yes,4,11,0,5,0,62,0.0582,1,1.570796327,10.33333333
H,1,1,C,yellow,Yes,1,4,0,2,0,41,0.0478,1,1.570796327,20.5
H,1,1,HP,yellow,Yes,2,6,0,2,0,43,0.0491,1,1.570796327,10.75
F,1,2,C,yellow,Yes,2,5,1,2,0,18,0.0203,0.8,0.927295218,9
F,1,2,HP,yellow,Yes,2,14,2,4,0,126,0.1282,0.857142857,1.029696801,15.75
H,1,2,C,yellow,Yes,4,13,1,3,0,86,0.089,0.923076923,1.176005207,9.555555556
H,1,2,HP,yellow,Yes,1,6,0,3,0,44,0.0428,1,1.570796327,14.66666667
F,10,1,C,black,Yes,1,2,0,0,0,2,0,1,1.570796327,1
F,10,1,HP,black,Yes,1,3,1,0,0,12,0.0079,0.666666667,0.729727656,6
H,10,1,C,black,Yes,1,6,5,1,0,0,0,0.166666667,0.167448079,
H,10,1,HP,black,Yes,1,2,0,1,0,4,0.0041,1,1.570796327,4
F,10,2,C,black,Yes,1,4,2,0,0,3,0.0036,0.5,0.523598776,1.5
F,10,2,HP,black,Yes,1,4,4,0,0,0,0,0,0,
H,10,2,C,black,Yes,2,8,8,0,0,0,0,0,0,
H,10,2,HP,black,Yes,1,8,4,1,0,3,0.0032,0.5,0.523598776,1
F,10,3,C,black,Yes,1,2,0,0,0,4,0.0041,1,1.570796327,2
H,10,3,C,black,Yes,1,3,3,0,0,0,0,0,0,
F,10,1,C,blue,No,3,9,1,1,0,27,0.0199,0.888888889,1.094914077,3.857142857
F,10,1,HP,blue,No,3,10,4,1,0,28,0.0164,0.6,0.643501109,5.6
H,10,1,C,blue,No,2,2,0,1,0,2,0.0036,1,1.570796327,2
H,10,1,HP,blue,No,1,1,0,0,0,1,0.0009,1,1.570796327,1
F,10,2,C,blue,No,2,5,0,0,0,17,0.011,1,1.570796327,3.4
F,10,2,HP,blue,No,2,9,1,4,0,75,0.0362,0.888888889,1.094914077,18.75
H,10,2,C,blue,No,1,4,3,1,0,0,0,0.25,0.252680255,
H,10,2,HP,blue,No,1,6,3,1,0,10,0.0087,0.5,0.523598776,5
F,10,3,C,blue,No,1,20,3,1,0,88,0.0865,0.85,1.015985294,5.5
F,10,3,HP,blue,No,1,12,2,0,0,53,0.0335,0.833333333,0.985110783,5.3
H,10,3,C,blue,No,2,17,7,3,0,33,0.02,0.588235294,0.628874925,4.714285714
H,10,3,HP,blue,No,1,23,6,5,0,50,0.0297,0.739130435,0.831778448,4.166666667
H,10,1,C,green,No,4,10,3,0,0,28,0.0131,0.7,0.775397497,4
H,10,1,HP,green,No,2,6,0,0,0,29,0.0319,1,1.570796327,4.833333333
H,10,2,C,green,No,4,6,4,0,0,4,0,0.333333333,0.339836909,2
H,10,2,HP,green,No,1,7,1,0,0,10,0.0102,0.857142857,1.029696801,1.666666667
F,10,1,C,pink,Pre,3,20,7,1,0,54,0.0113,0.65,0.707584437,4.5
F,10,1,HP,pink,Pre,1,3,0,0,0,8,0.0035,1,1.570796327,2.666666667
H,10,1,C,pink,Pre,4,29,20,1,0,14,0.0175,0.310344828,0.315555749,1.75
H,10,1,HP,pink,Pre,3,15,11,2,0,2,0,0.266666667,0.269932796,1
F,10,2,C,pink,Pre,4,19,6,3,0,81,0.0502,0.684210526,0.753520617,8.1
F,10,2,HP,pink,Pre,3,13,8,2,0,14,0,0.384615385,0.39479112,4.666666667
H,10,2,C,pink,Pre,3,14,10,3,0,1,0,0.285714286,0.289751701,1
H,10,2,HP,pink,Pre,3,12,4,1,0,8,0.0086,0.666666667,0.729727656,1.142857143
F,10,3,C,pink,Pre,3,12,4,2,0,23,0.0137,0.666666667,0.729727656,3.833333333
F,10,3,HP,pink,Pre,1,3,3,0,0,0,0,0,0,
H,10,3,C,pink,Pre,2,23,11,2,0,24,0.012,0.52173913,0.548888272,2.4
H,10,3,HP,pink,Pre,2,4,3,0,0,2,0.0013,0.25,0.252680255,2
F,10,1,C,red,Pre,1,2,1,0,0,2,0,0.5,0.523598776,2
F,10,1,HP,red,Pre,1,2,2,0,0,0,0,0,0,
H,10,1,HP,red,Pre,1,1,1,0,0,0,0,0,0,
F,10,2,C,red,Pre,1,3,1,0,0,16,0.0168,0.666666667,0.729727656,8
F,10,3,C,red,Pre,2,9,5,0,0,23,0.019,0.444444444,0.460553992,5.75
F,10,3,HP,red,Pre,1,4,0,1,0,8,0.0057,1,1.570796327,2.666666667
H,10,3,C,red,Pre,2,7,5,2,0,0,0,0.285714286,0.289751701,
H,10,3,HP,red,Pre,1,1,0,0,0,15,0,1,1.570796327,15
F,10,1,C,white,Yes,2,10,5,0,0,24,0.0088,0.5,0.523598776,4.8
F,10,1,HP,white,Yes,2,8,1,2,0,38,0.0184,0.875,1.065435817,7.6
H,10,1,C,white,Yes,2,4,0,1,0,8,0.0059,1,1.570796327,2.666666667
H,10,1,HP,white,Yes,3,5,4,1,0,1,0.0016,0.2,0.201357921,
F,10,2,C,white,Yes,2,8,0,1,0,55,0.046,1,1.570796327,7.857142857
F,10,2,HP,white,Yes,1,8,4,0,0,5,0.0054,0.5,0.523598776,1.25
H,10,2,C,white,Yes,2,5,1,0,0,8,0.0058,0.8,0.927295218,2
H,10,2,HP,white,Yes,2,6,5,0,0,6,0.0083,0.166666667,0.167448079,6
F,10,3,C,white,Yes,2,5,2,0,0,8,0.0048,0.6,0.643501109,2.666666667
F,10,3,HP,white,Yes,2,8,2,0,0,2,0.0113,0.75,0.848062079,0.333333333
H,10,3,C,white,Yes,1,7,3,2,0,13,0.0089,0.571428571,0.608245579,6.5
H,10,3,HP,white,Yes,1,4,0,0,0,16,0.0111,1,1.570796327,4
F,2,1,HP,black,Yes,1,1,1,0,0,0,0,0,0,
H,2,2,C,black,Yes,1,3,3,0,0,0,0,0,0,
H,2,2,HP,black,Yes,1,6,6,0,0,0,0,0,0,
H,2,3,C,black,Yes,1,1,1,0,0,0,0,0,0,
H,2,3,HP,black,Yes,1,4,3,0,0,4,0,0.25,0.252680255,4
F,2,1,C,blue,No,3,8,2,1,0,24,0.021,0.75,0.848062079,4.8
F,2,1,HP,blue,No,3,7,3,1,0,11,0.0106,0.571428571,0.608245579,3.666666667
H,2,1,HP,blue,No,1,3,1,0,0,7,0.0032,0.666666667,0.729727656,3.5
H,2,2,C,blue,No,1,1,1,0,0,0,0,0,0,
H,2,2,HP,blue,No,2,4,1,1,0,18,0.0193,0.75,0.848062079,9
F,2,3,C,blue,No,1,2,1,0,0,1,0.0009,0.5,0.523598776,1
F,2,3,HP,blue,No,1,7,1,0,0,32,0.0236,0.857142857,1.029696801,5.333333333
H,2,3,C,blue,No,2,10,4,0,0,38,0.0418,0.6,0.643501109,6.333333333
H,2,3,HP,blue,No,2,6,2,0,0,30,0.0334,0.666666667,0.729727656,7.5
H,2,2,C,green,No,1,6,0,1,0,30,0.0239,1,1.570796327,6
H,2,2,HP,green,No,1,7,4,0,0,4,0.0039,0.428571429,0.442911044,1.333333333
F,2,1,C,pink,Pre,3,12,3,3,0,26,0.0079,0.75,0.848062079,4.333333333
F,2,1,HP,pink,Pre,3,3,1,0,0,9,0.0025,0.666666667,0.729727656,4.5
H,2,1,C,pink,Pre,1,3,2,0,0,4,0.0045,0.333333333,0.339836909,4
F,2,2,C,pink,Pre,2,15,9,4,0,6,0.0049,0.4,0.411516846,3
F,2,2,HP,pink,Pre,1,2,1,1,0,0,0,0.5,0.523598776,
H,2,2,HP,pink,Pre,4,8,3,1,0,7,0.0047,0.625,0.675131533,1.75
F,2,3,C,pink,Pre,2,12,1,5,0,55,0.0625,0.916666667,1.159658464,9.166666667
F,2,3,HP,pink,Pre,2,15,5,7,0,35,0.0332,0.666666667,0.729727656,11.66666667
H,2,3,C,pink,Pre,2,11,4,5,0,9,0.0096,0.636363636,0.689775001,4.5
H,2,3,HP,pink,Pre,2,4,2,2,0,0,0,0.5,0.523598776,
F,2,1,HP,red,Pre,1,2,2,0,0,0,0,0,0,
H,2,2,C,red,Pre,1,1,0,0,0,3,0.0031,1,1.570796327,3
H,2,2,HP,red,Pre,1,2,0,1,0,3,0.0035,1,1.570796327,3
F,2,3,HP,red,Pre,1,2,0,1,0,2,0,1,1.570796327,2
H,2,3,C,red,Pre,1,1,0,0,0,1,0,1,1.570796327,1
F,2,1,C,white,Yes,1,6,2,0,0,9,0.0103,0.666666667,0.729727656,2.25
F,2,1,HP,white,Yes,1,1,0,0,0,3,0.0027,1,1.570796327,3
H,2,1,HP,white,Yes,1,3,1,0,0,8,0.0063,0.666666667,0.729727656,4
F,2,2,C,white,Yes,1,1,1,0,0,0,0,0,0,
H,2,2,C,white,Yes,1,4,2,0,0,4,0.0048,0.5,0.523598776,2
H,2,2,HP,white,Yes,2,14,5,1,0,22,0.0237,0.642857143,0.698222473,2.75
F,2,3,C,white,Yes,1,3,1,1,0,2,0.0012,0.666666667,0.729727656,2
F,2,3,HP,white,Yes,2,4,1,3,0,0,0,0.75,0.848062079,
H,2,3,C,white,Yes,2,2,1,0,0,1,0.0007,0.5,0.523598776,1
H,2,3,HP,white,Yes,1,5,3,1,0,4,0.003,0.4,0.411516846,4
F,2,1,C,yellow,No,2,8,3,2,0,41,0.0404,0.625,0.675131533,13.66666667
F,2,1,HP,yellow,No,1,8,2,1,0,57,0.0445,0.75,0.848062079,11.4
H,2,2,HP,yellow,No,1,1,0,1,0,0,0,1,1.570796327,
F,3,1,C,black,No,1,2,2,0,0,0,0,0,0,
F,3,1,HP,black,No,1,2,0,0,0,4,0.0032,1,1.570796327,2
H,3,1,HP,black,No,2,4,2,0,0,3,0.003,0.5,0.523598776,1.5
F,3,2,C,black,No,1,2,2,0,0,0,0,0,0,
F,3,1,C,blue,Yes,1,5,2,0,0,20,0.0191,0.6,0.643501109,6.666666667
F,3,1,HP,blue,Yes,2,4,0,0,0,21,0.0199,1,1.570796327,5.25
H,3,1,C,blue,Yes,1,4,2,1,0,1,0.0007,0.5,0.523598776,1
H,3,1,HP,blue,Yes,3,9,1,3,0,37,0.0221,0.888888889,1.094914077,7.4
F,3,2,C,blue,Yes,2,11,5,1,0,37,0.036,0.545454545,0.576931345,7.4
F,3,2,HP,blue,Yes,2,9,2,2,0,34,0.0353,0.777777778,0.891122508,6.8
H,3,2,C,blue,Yes,1,1,0,0,0,4,0.0019,1,1.570796327,4
H,3,2,HP,blue,Yes,3,11,1,3,0,59,0.0549,0.909090909,1.141096661,8.428571429
F,3,3,C,blue,Yes,1,2,0,1,0,11,0.0104,1,1.570796327,11
F,3,3,HP,blue,Yes,1,2,0,0,0,14,0.015,1,1.570796327,7
H,3,3,C,blue,Yes,2,2,1,0,0,2,0,0.5,0.523598776,2
H,3,3,HP,blue,Yes,2,5,1,2,0,15,0.0204,0.8,0.927295218,7.5
H,3,2,HP,green,Yes,1,2,1,0,0,3,0.0021,0.5,0.523598776,3
F,3,3,C,green,Yes,1,2,0,0,0,7,0.0057,1,1.570796327,3.5
H,3,3,C,green,Yes,2,5,2,0,0,17,0.0159,0.6,0.643501109,5.666666667
H,3,3,HP,green,Yes,2,6,2,1,0,19,0.0174,0.666666667,0.729727656,6.333333333
F,3,1,C,pink,Pre,5,13,2,0,2,59,0.0632,0.866666667,1.048481505,5.363636364
F,3,1,HP,pink,Pre,3,19,2,5,0,104,0.0541,0.894736842,1.107841599,8.666666667
H,3,1,C,pink,Pre,1,4,2,2,0,0,0,0.5,0.523598776,
H,3,1,HP,pink,Pre,1,4,2,1,0,3,0,0.5,0.523598776,3
F,3,2,C,pink,Pre,4,26,9,3,0,115,0.1111,0.653846154,0.712656628,8.214285714
F,3,2,HP,pink,Pre,3,9,1,5,0,52,0.0494,0.888888889,1.094914077,17.33333333
H,3,2,C,pink,Pre,4,8,4,1,0,0,0,0.5,0.523598776,0
H,3,2,HP,pink,Pre,4,11,7,0,0,31,0.0281,0.363636364,0.372168534,7.75
F,3,3,C,pink,Pre,3,10,2,1,0,62,0.0505,0.8,0.927295218,8.857142857
F,3,3,HP,pink,Pre,2,5,1,0,0,22,0.0185,0.8,0.927295218,5.5
H,3,3,C,pink,Pre,3,14,4,2,0,32,0.0348,0.714285714,0.795602953,4
H,3,3,HP,pink,Pre,3,15,4,1,0,44,0.0518,0.733333333,0.823211977,4.4
F,3,1,C,red,Pre,1,3,0,1,0,14,0.0146,1,1.570796327,7
F,3,2,HP,red,Pre,2,3,0,1,0,10,0.0103,1,1.570796327,5
H,3,2,HP,red,Pre,1,3,0,0,0,11,0.0108,1,1.570796327,3.666666667
F,3,3,C,red,Pre,1,1,1,0,0,0,0,0,0,
F,3,1,C,white,No,1,10,1,0,0,31,0.0295,0.9,1.119769515,3.444444444
F,3,1,HP,white,No,3,5,0,0,0,17,0.0173,1,1.570796327,3.4
H,3,1,C,white,No,1,2,0,2,0,0,0,1,1.570796327,
H,3,1,HP,white,No,1,3,1,1,0,15,0.0101,0.666666667,0.729727656,15
F,3,2,C,white,No,1,4,0,0,0,28,0.0238,1,1.570796327,7
F,3,2,HP,white,No,3,10,2,3,0,33,0.0349,0.8,0.927295218,6.6
H,3,2,C,white,No,1,2,1,1,0,0,0,0.5,0.523598776,
H,3,2,HP,white,No,1,5,2,0,0,28,0.0211,0.6,0.643501109,9.333333333
F,3,3,C,white,No,2,3,1,0,0,13,0.0115,0.666666667,0.729727656,6.5
F,3,3,HP,white,No,1,1,1,0,0,0,0,0,0,
H,3,3,C,white,No,2,3,3,0,0,0,0,0,0,
H,3,3,HP,white,No,1,4,1,2,0,9,0.0093,0.75,0.848062079,9
F,3,1,C,yellow,Yes,3,14,0,1,3,102,0.0935,1,1.570796327,7.846153846
F,3,1,HP,yellow,Yes,2,18,1,8,0,114,0.0744,0.944444444,1.235900168,12.66666667
H,3,1,C,yellow,Yes,1,3,1,0,0,21,0.0191,0.666666667,0.729727656,10.5
F,3,2,C,yellow,Yes,3,14,0,9,0,55,0.0558,1,1.570796327,11
F,3,2,HP,yellow,Yes,2,10,0,7,0,32,0.0312,1,1.570796327,10.66666667
H,3,2,C,yellow,Yes,1,6,2,1,0,35,0.0263,0.666666667,0.729727656,11.66666667
H,3,2,HP,yellow,Yes,2,14,2,5,0,103,0.0847,0.857142857,1.029696801,14.71428571
F,3,7,HP,yellow,Yes,1,4,0,3,0,14,0.0109,1,1.570796327,14
F,4,2,C,black,Yes,1,1,1,0,0,0,0,0,0,
H,4,2,C,black,Yes,1,1,1,0,0,0,0,0,0,
F,4,3,C,black,Yes,1,1,1,0,0,0,0,0,0,
F,4,3,HP,black,Yes,1,1,1,0,0,0,0,0,0,
F,4,1,C,blue,No,1,2,0,0,0,13,0.0122,1,1.570796327,6.5
F,4,1,HP,blue,No,1,8,1,2,0,24,0.0243,0.875,1.065435817,4.8
H,4,1,C,blue,No,2,6,1,3,0,18,0.0173,0.833333333,0.985110783,9
H,4,1,HP,blue,No,3,10,4,2,0,38,0,0.6,0.643501109,9.5
F,4,2,C,blue,No,1,1,0,0,0,14,0.012,1,1.570796327,14
H,4,2,C,blue,No,2,1,1,0,1,4,0.0024,0.5,0.523598776,
H,4,2,HP,blue,No,2,14,3,1,0,49,0.0393,0.785714286,0.903849982,4.9
F,4,3,C,blue,No,1,4,0,0,0,0,0,1,1.570796327,0
F,4,3,HP,blue,No,1,8,0,5,0,13,0,1,1.570796327,4.333333333
H,4,3,C,blue,No,1,10,5,3,0,8,0.008,0.5,0.523598776,4
H,4,1,HP,green,No,1,1,0,0,0,15,0.0078,1,1.570796327,15
F,4,2,C,green,No,2,9,0,3,0,26,0.0177,1,1.570796327,4.333333333
F,4,2,HP,green,No,2,2,2,0,0,0,0,0,0,
F,4,3,C,green,No,1,1,1,0,0,0,0,0,0,
F,4,1,C,pink,Pre,2,7,2,1,0,16,0.0118,0.714285714,0.795602953,4
F,4,1,HP,pink,Pre,1,2,1,0,0,2,0,0.5,0.523598776,2
H,4,1,C,pink,Pre,3,15,8,2,0,53,0.0405,0.466666667,0.485518122,10.6
H,4,1,HP,pink,Pre,5,9,3,1,0,33,0.0263,0.666666667,0.729727656,6.6
H,4,1,P,pink,Pre,1,2,2,0,0,0,0,0,0,
F,4,2,C,pink,Pre,2,12,4,2,0,66,0.0568,0.666666667,0.729727656,11
F,4,2,HP,pink,Pre,4,9,1,1,0,67,0.0504,0.888888889,1.094914077,9.571428571
H,4,2,C,pink,Pre,3,9,2,1,0,85,0.0802,0.777777778,0.891122508,14.16666667
H,4,2,HP,pink,Pre,3,11,5,2,0,15,0.0154,0.545454545,0.576931345,3.75
F,4,3,C,pink,Pre,1,9,7,1,0,3,0,0.222222222,0.224093092,3
F,4,3,HP,pink,Pre,1,1,1,0,0,0,0,0,0,
H,4,3,C,pink,Pre,4,12,2,5,0,37,0.0222,0.833333333,0.985110783,7.4
H,4,3,HP,pink,Pre,1,5,0,4,0,2,0,1,1.570796327,2
F,4,1,C,red,Pre,2,2,1,1,0,0,0,0.5,0.523598776,
F,4,1,HP,red,Pre,1,1,0,0,0,1,0,1,1.570796327,1
F,4,2,C,red,Pre,1,2,1,0,0,3,0,0.5,0.523598776,3
F,4,2,HP,red,Pre,3,4,2,0,0,5,0.0031,0.5,0.523598776,2.5
H,4,2,C,red,Pre,1,10,3,5,0,26,0.0278,0.7,0.775397497,13
H,4,2,HP,red,Pre,2,13,9,1,0,5,0.0048,0.307692308,0.312766722,1.666666667
F,4,3,C,red,Pre,2,5,2,0,0,11,0.0085,0.6,0.643501109,3.666666667
F,4,3,HP,red,Pre,2,7,3,0,0,9,0.0061,0.571428571,0.608245579,2.25
H,4,3,C,red,Pre,1,2,0,1,0,2,0,1,1.570796327,2
H,4,1,C,white,Yes,2,3,1,0,0,6,0.0052,0.666666667,0.729727656,3
H,4,1,HP,white,Yes,1,4,1,0,0,20,0.0139,0.75,0.848062079,6.666666667
F,4,2,C,white,Yes,1,3,0,0,0,17,0.0139,1,1.570796327,5.666666667
F,4,2,HP,white,Yes,2,3,1,0,0,8,0.0073,0.666666667,0.729727656,4
H,4,2,C,white,Yes,1,1,0,0,0,1,0,1,1.570796327,1
H,4,2,HP,white,Yes,1,1,0,0,0,4,0.004,1,1.570796327,4
F,4,3,C,white,Yes,2,4,0,4,0,0,0,1,1.570796327,
F,4,3,HP,white,Yes,1,3,0,2,0,4,0.0033,1,1.570796327,4
H,4,3,C,white,Yes,1,3,0,0,0,4,0.0047,1,1.570796327,1.333333333
F,4,1,C,yellow,No,2,7,0,2,0,68,0.0606,1,1.570796327,13.6
F,4,1,HP,yellow,No,2,11,0,3,0,114,0.1007,1,1.570796327,14.25
