ID,Extract,Colony ,Treatment ,Fed (Y/N),Pulled,dil.factor,time,exp
65,,1,1,Y,Alive,,,2
66,,1,1,Y,Alive,,,2
68,,1,1,Y,Alive,,,2
69,,2,1,Y,Alive,,,2
70,,2,1,Y,Alive,,,2
71,,2,1,Y,Alive,,,2
72,,3,1,Y,Alive,,,2
73,,3,1,Y,Alive,,,2
74,,3,1,Y,Alive,,,2
75,,3,1,Y,Dead,,,2
76,,4,1,Y,Dead,,,2
77,,4,1,Y,Dead,,,2
78,,4,1,Y,Dead,,,2
79,,4,1,Y,Dead?,,,2
80,y,1,3,Y,Alive,3.7345,,2
81,y,1,3,Y,Alive,2.3685,,2
82,,1,3,Y,Alive,,,2
83,,1,3,Y,Alive,,,2
84,,2,3,Y,Dead,,,2
85,,2,3,Y,Alive,,,2
86,y,2,3,Y,Alive,4.8095,,2
87,,2,3,Y,Alive,,,2
88,,3,3,Y,Alive,,,2
89,y,3,3,Y,Alive,1.8565,,2
90,,3,3,Y,Alive,,,2
91,,2,3,Y,Alive,,,2
92,,4,3,Y,Dead,,,2
93,,4,3,Y,Dead,,,2
94,,4,3,Y,Dead,,,2
95,y,1,5,Y,Alive,2.645,,2
96,,1,5,Y,Alive,,,2
97,y,1,5,Y,Alive,5.045,,2
98,y,2,5,Y,Alive,1.865,,2
101,,2,5,Y,Alive,,,2
102,,3,5,Y,Dead,,,2
103,y,3,5,Y,Alive,4.5095,,2
104,,3,5,Y,Alive,,,2
105,,3,5,Y,Dead,,,2
106,,4,5,Y,Dead,,,2
108,,4,5,Y,Dead,,,2
109,,4,5,Y,Alive,,,2
110,,1,10,Y,Alive,,,2
111,,1,10,Y,Alive,,,2
112,,1,10,Y,Alive,,,2
113,,1,10,Y,Alive,,,2
114,,2,10,Y,Alive,,,2
115,,2,10,Y,Alive,,,2
116,,2,10,Y,Alive,,,2
117,,2,10,Y,Dead,,,2
118,,3,10,Y,Dead?,,,2
119,,3,10,Y,Alive,,,2
120,,3,10,Y,Dead,,,2
121,,3,10,Y,Alive,,,2
122,,4,10,Y,Alive,,,2
123,,4,10,Y,Alive,,,2
124,,4,10,Y,Dead,,,2
17,,1,C,,,,120,1
18,,1,C,,,,120,1
19,,1,C,,,,2,1
20,,1,C,,,,21,1
21,,2,T,,,,58,1
22,,2,T,,,,76,1
23,,1,T,,,,74,1
25,,2,T,,,,72,1
26,,2,T,,,1.798,7,1
27,,2,T,,,,75,1
28,,2,T,,,,86,1
29,,2,T,,,,1,1
30,,2,T,,,2.266,15,1
31,,2,T,,,2.767,56,1
32,,2,T,,,,120,1
33,,2,T,,,,101,1
34,,2,T,,,3.0935,17,1
35,,2,T,,,1.6325,73,1
36,,1,T,,,1.494,35,1
37,,1,T,,,,84,1
38,,1,T,,,,13,1
39,,1,T,,,,30,1
40,,1,T,,,,66,1
41,,1,T,,,4.1205,4,1
42,,1,T,,,,15,1
43,,1,T,,,1.78,7,1
44,,1,T,,,1.0465,71,1
45,,3,T,,,,41,1
46,,3,T,,,,116,1
47,,3,T,,,3.583,4,1
48,,3,T,,,3.666,9,1
49,,3,T,,,,83,1
50,,3,T,,,,54,1
51,,3,T,,,3.163,7,1
52,,3,T,,,1.6805,5,1
53,,3,T,,,,108,1
54,,3,T,,,0.962,89,1
55,,4,T,,,,21,1
56,,4,T,,,,60,1
57,,4,T,,,1.169,25,1
58,,4,T,,,,89,1
60,,4,T,,,2.8115,43,1
62,,4,T,,,1.246,47,1
64,,4,T,,,,120,1
1,,1,1,,,9.109,,2
2,,1,10,,,10.8445,,2
3,,3,1,,,10.345,,2
4,,2,10,,,8.771,,2
5,,2,10,,,11.9575,,2
6,,4,1,,,9.6515,,2
7,,4,1,,,9.7835,,2
8,,3,10,,,7.4345,,2
9,,3,1,,,9.7465,,2
10,,1,1,,,6.8435,,2
11,,4,10,,,8.973,,2
12,,2,10,,,8.936,,2