ID,ngul,dil.factor
P1,10.17,1
P2,122.08,1
P3,47.81,1
P4,18.05,1
P5,138.27,6.9135
P6,54.03,2.7015
P7,12.27,1
P8,145.41,7.2705
P9,3.54,1
P10,6.7,1
P11,8.53,1
P12,6.71,1
P13,159.62,7.981
P14,11.46,1
P15,2.28,1
P16,4.62,1
P17,4.84,1
P18,4.86,1
P19,8.57,1
P20,4.76,1
P21,2.95,1
P22,2.56,1
P23,2.96,1
P24,7.67,1
P25,3.09,1
P26,7.05,1
P27,2.73,1
P28,7.46,1
P29,4.39,1
P30,3.75,1
P31,2.59,1
P32,4.15,1
P33,2.15,1
P34,173.3,8.665
P35,29.44,1.472
P36,9.64,1
P37,5.67,1
P38,4.69,1
P39,26.55,1.3275
P40,3.53,1
P41,4.29,1
P42,3.86,1
P43,3.68,1
P44,5.72,1
P45,3.71,1
P46,180.77,9.0385
P47,256.58,12.829
P48,6.7,1
P49,62.33,3.1165
P50,182.29,9.1145
P51,2.87,1
P52,84.32,4.216
P53,185.48,9.274
P54,2.95,1
P55,147.3,7.365
P56,6.16,1
P57,4.21,1
P58,36.49,1.8245
P59,49.55,2.4775
P60,131.97,6.5985
P61,2.92,1
P62,80.66,4.033
P63,156.42,7.821
P64,23.8,1.19
P65,4.7,1
P66,30.88,1.544
P67,159.37,7.9685
P68,41.57,2.0785
P69,174.81,8.7405
P70,2.95,1
P71,55.19,2.7595
P72,132.52,6.626
P73,31.69,1.5845
P74,167.76,8.388
P75,3.69,1
P76,116.47,5.8235
P77,209.69,10.4845
P78,0.96,1
P79,248.83,12.4415
P80,180.42,9.021
P81,227.63,11.3815
P82,180.49,9.0245
P83,5.16,1
P84,189.61,9.4805
P85,174.71,8.7355
P86,170.6,8.53
P87,1.56,1
P88,238.13,11.9065
P89,15.52,1
P90,2.9,1
P91,11.59,1
P92,240.15,12.0075
P93,226.85,11.3425
P94,177.36,8.868
P95,3.03,1
P96,1.87,1
P97,410.06,20.503
P98,255.5,12.775
P99,219.5,10.975
P100,245.44,12.272
P101,10.61,1
P102,4.29,1
P103,628.83,31.4415