ID,FieldID,Site,Date
125,28,BOST,7/7
130,3,BOST,7/7
136,31,BOST,7/7
139,20,BOST,7/7
140,11,BOST,7/7
152,13,BOST,7/7
2,41,BOST,7/7
9,49,BOST,7/7
11,38,BOST,7/7
14,48,BOST,7/7
24,45,BOST,7/7
25,46,BOST,7/7
34,21,BOST,7/7
39,44,BOST,7/7
63,42,BOST,7/7
73,35,BOST,7/7
1,6,BOST,9/9
5,11,BOST,9/9
13,12,BOST,9/9
15,18,BOST,9/9
16,23,BOST,9/9
21,17,BOST,9/9
22,7,BOST,9/9
27,16,BOST,9/9
28,10,BOST,9/9
29,20,BOST,9/9
32,19,BOST,9/9
33,5,BOST,9/9
37,24,BOST,9/9
43,27,BOST,9/9
48,25,BOST,9/9
51,28,BOST,9/9
52,30,BOST,9/9
53,26,BOST,9/9
56,9,BOST,9/9
59,4,BOST,9/9
60,14,BOST,9/9
64,22,BOST,9/9
65,13,BOST,9/9
66,1,BOST,9/9
70,15,BOST,9/9
71,8,BOST,9/9
42,1,BOST,9/10
79,13,CIND,8/4
80,2,CIND,8/4
82,21,CIND,8/4
89,8,CIND,8/4
92,18,CIND,8/4
103,19,CIND,8/4
105,22,CIND,8/4
107,1,CIND,8/4
131,24,CIND,5/9
135,22,CIND,5/9
138,19,CIND,5/9
141,16,CIND,5/9
142,4,CIND,5/9
6,14,CIND,9/10
7,9,CIND,9/10
10,13,CIND,9/10
17,20,CIND,9/10
18,11,CIND,9/10
19,17,CIND,9/10
20,16,CIND,9/10
26,19,CIND,9/10
36,5,CIND,9/10
45,6,CIND,9/10
55,3,CIND,9/10
58,4,CIND,9/10
62,15,CIND,9/10
72,12,CIND,9/10
23,22,COL,7/7
54,8,COL,7/6
61,21,COL,7/7
68,11,COL,7/6
69,9,COL,7/6
77,47,COL,9/10
83,44,COL,9/10
86,29,COL,9/10
91,20,COL,9/10
94,15,COL,9/10
99,35,COL,9/10
101,10,COL,9/10
115,43,COL,9/10
120,3,COL,9/10
121,32,COL,9/10
123,41,COL,9/10
127,7,COL,9/10
134,34,COL,9/10
144,6,COL,9/10
145,38,COL,9/10
147,24,COL,9/10
148,33,COL,9/10
75,31,FLAN,9/9
76,7,FLAN,9/9
78,24,FLAN,9/9
81,30,FLAN,9/9
90,4,FLAN,9/9
95,2,FLAN,9/9
96,26,FLAN,9/9
98,18,FLAN,9/9
100,19,FLAN,9/9
102,36,FLAN,9/9
104,14,FLAN,9/9
106,6,FLAN,9/9
108,35,FLAN,9/9
112,3,FLAN,9/9
113,21,FLAN,9/9
116,15,FLAN,9/9
118,22,FLAN,9/9
119,34,FLAN,9/9
126,27,FLAN,9/9
128,41,FLAN,9/9
129,37,FLAN,9/9
132,38,FLAN,9/9
133,17,FLAN,9/9
137,42,FLAN,9/9
143,10,FLAN,9/9
146,13,FLAN,9/9
149,28,FLAN,9/9
150,12,FLAN,9/9
151,40,FLAN,9/9
153,8,FLAN,9/9
84,4,MUDGE,8/4
85,30,MUDGE,8/4
87,33,MUDGE,8/4
88,23,MUDGE,8/4
93,6,MUDGE,8/4
97,35,MUDGE,8/4
109,5,MUDGE,8/4
110,22,MUDGE,8/4
114,26,MUDGE,8/4
117,9,MUDGE,8/4
122,34,MUDGE,8/4
124,27,MUDGE,8/4
46,19,MUDGE,9/10
3,18,MUDGE,9/10
4,11,MUDGE,9/10
8,4,MUDGE,9/10
12,5,MUDGE,9/10
30,16,MUDGE,9/10
31,2,MUDGE,9/10
35,3,MUDGE,9/10
38,15,MUDGE,9/10
40,9,MUDGE,9/10
41,8,MUDGE,9/10
44,1,MUDGE,9/10
47,10,MUDGE,9/10
49,6,MUDGE,9/10
50,14,MUDGE,9/10
57,13,MUDGE,9/10
67,17,MUDGE,9/10
74,7,MUDGE,9/10
111,4,MUDGE,9/10